Ref,Val,Package,PosX,PosY,Rot,Side
"C201","220n","C_0603_1608Metric",128.800000,-70.650000,180.000000,top
"C301","220n","C_0603_1608Metric",118.600000,-70.450000,180.000000,top
"C401","220n","C_0603_1608Metric",68.600000,-70.600000,180.000000,top
"C501","220n","C_0603_1608Metric",59.400000,-70.600000,180.000000,top
"C601","220n","C_0603_1608Metric",108.800000,-70.450000,180.000000,top
"C701","220n","C_0603_1608Metric",99.000000,-70.450000,180.000000,top
"C801","220n","C_0603_1608Metric",72.200000,-70.650000,180.000000,top
"C901","220n","C_0603_1608Metric",77.000000,-70.450000,180.000000,top
"J101","I2C_1","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",83.750000,-76.500000,-90.000000,top
"J102","I2C_0","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",94.000000,-76.500000,90.000000,top
"R201","1k","R_0603_1608Metric",128.800000,-72.200000,180.000000,top
"R301","1k","R_0603_1608Metric",118.600000,-72.000000,180.000000,top
"R401","1k","R_0603_1608Metric",68.600000,-72.150000,180.000000,top
"R501","1k","R_0603_1608Metric",59.400000,-72.150000,180.000000,top
"R601","1k","R_0603_1608Metric",108.800000,-72.000000,180.000000,top
"R701","1k","R_0603_1608Metric",99.000000,-72.000000,180.000000,top
"R801","1k","R_0603_1608Metric",72.200000,-72.200000,180.000000,top
"R901","1k","R_0603_1608Metric",77.000000,-72.000000,180.000000,top
"RV201","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",124.500000,-64.000000,-90.000000,top
"RV301","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",114.500000,-64.000000,-90.000000,top
"RV401","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",64.500000,-64.000000,-90.000000,top
"RV501","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",54.500000,-64.000000,-90.000000,top
"RV601","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",104.500000,-64.000000,-90.000000,top
"RV701","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",94.500000,-64.000000,-90.000000,top
"RV801","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",74.500000,-64.000000,-90.000000,top
"RV901","10k","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",84.500000,-64.000000,-90.000000,top
"SW101","RotaryEncoder_Switch","JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical",63.250000,-113.500000,0.000000,top
"SW102","SW_0","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",116.975000,-87.500000,90.000000,top
"SW103","SW_0","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",103.000000,-97.250000,90.000000,top
"SW104","SW_0","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",117.000000,-97.250000,90.000000,top
"SW105","PRGM","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",103.000000,-87.500000,90.000000,top
